city,city_key,datetime,date,hour,station_name,station_id,no2,pm10,o3
Berlin,berlin,2024-01-02 03:00:00,2024-01-02,3,Berlin Grunewald (3.5 m),143,5.0,9.0,41.0
Berlin,berlin,2024-01-02 03:00:00,2024-01-02,3,Berlin Marienfelde,138,2.0,,49.0
Berlin,berlin,2024-01-02 03:00:00,2024-01-02,3,Berlin Neukölln,145,8.0,14.0,44.0
Berlin,berlin,2024-01-02 03:00:00,2024-01-02,3,Berlin Wedding,121,12.0,11.0,44.0
Berlin,berlin,2024-01-02 04:00:00,2024-01-02,4,Berlin Buch,158,7.0,12.0,42.0
Berlin,berlin,2024-01-02 04:00:00,2024-01-02,4,Berlin Grunewald (3.5 m),143,7.0,8.0,28.0
Berlin,berlin,2024-01-02 04:00:00,2024-01-02,4,Berlin Marienfelde,138,5.0,,43.0
Berlin,berlin,2024-01-02 04:00:00,2024-01-02,4,Berlin Neukölln,145,11.0,14.0,41.0
Berlin,berlin,2024-01-02 04:00:00,2024-01-02,4,Berlin Wedding,121,10.0,10.0,44.0
Berlin,berlin,2024-01-02 05:00:00,2024-01-02,5,Berlin Buch,158,15.0,11.0,35.0
Berlin,berlin,2024-01-02 05:00:00,2024-01-02,5,Berlin Grunewald (3.5 m),143,12.0,8.0,19.0
Berlin,berlin,2024-01-02 05:00:00,2024-01-02,5,Berlin Marienfelde,138,4.0,,41.0
Berlin,berlin,2024-01-02 05:00:00,2024-01-02,5,Berlin Neukölln,145,14.0,13.0,36.0
Berlin,berlin,2024-01-02 05:00:00,2024-01-02,5,Berlin Wedding,121,16.0,9.0,37.0
Berlin,berlin,2024-01-02 06:00:00,2024-01-02,6,Berlin Buch,158,15.0,10.0,30.0
Berlin,berlin,2024-01-02 06:00:00,2024-01-02,6,Berlin Grunewald (3.5 m),143,19.0,7.0,15.0
Berlin,berlin,2024-01-02 06:00:00,2024-01-02,6,Berlin Marienfelde,138,6.0,,32.0
Berlin,berlin,2024-01-02 06:00:00,2024-01-02,6,Berlin Neukölln,145,25.0,12.0,25.0
Berlin,berlin,2024-01-02 06:00:00,2024-01-02,6,Berlin Wedding,121,25.0,8.0,29.0
Berlin,berlin,2024-01-02 07:00:00,2024-01-02,7,Berlin Buch,158,16.0,10.0,29.0
Berlin,berlin,2024-01-02 07:00:00,2024-01-02,7,Berlin Grunewald (3.5 m),143,18.0,7.0,22.0
Berlin,berlin,2024-01-02 07:00:00,2024-01-02,7,Berlin Marienfelde,138,8.0,,36.0
Berlin,berlin,2024-01-02 07:00:00,2024-01-02,7,Berlin Neukölln,145,31.0,12.0,21.0
Berlin,berlin,2024-01-02 07:00:00,2024-01-02,7,Berlin Wedding,121,31.0,8.0,24.0
Berlin,berlin,2024-01-02 08:00:00,2024-01-02,8,Berlin Buch,158,12.0,9.0,31.0
Berlin,berlin,2024-01-02 08:00:00,2024-01-02,8,Berlin Grunewald (3.5 m),143,12.0,6.0,29.0
Berlin,berlin,2024-01-02 08:00:00,2024-01-02,8,Berlin Marienfelde,138,9.0,,35.0
Berlin,berlin,2024-01-02 08:00:00,2024-01-02,8,Berlin Neukölln,145,24.0,12.0,27.0
Berlin,berlin,2024-01-02 08:00:00,2024-01-02,8,Berlin Wedding,121,27.0,8.0,28.0
Berlin,berlin,2024-01-02 09:00:00,2024-01-02,9,Berlin Buch,158,10.0,9.0,36.0
